strike,expiry,T,option_type,moneyness,market_iv,model_iv,iv_error,abs_error
675.0,2026-07-31,0.39452054794520547,call,-0.0038890267183342253,0.19478687409573256,0.21623179345771493,0.021444919361982367,0.021444919361982367
675.0,2026-07-31,0.39452054794520547,put,-0.0038890267183342253,0.21571763329671068,0.2162317934577153,0.000514160161004612,0.000514160161004612
676.0,2026-07-31,0.39452054794520547,put,-0.005369411888768484,0.21492607748179984,0.21559525657167108,0.0006691790898712413,0.0006691790898712413
693.0,2026-07-31,0.39452054794520547,put,-0.030206335035707632,0.20266945603990147,0.20455078231963583,0.0018813262797343633,0.0018813262797343633
725.0,2026-07-31,0.39452054794520547,call,-0.07534799070047925,0.15330572658207897,0.1824453996565704,0.029139673074491418,0.029139673074491418
575.0,2026-07-31,0.39452054794520547,put,0.15645362335684515,0.300483748795065,0.27495083255110725,-0.02553291624395776,0.02553291624395776
670.0,2026-08-21,0.4520547945205479,call,0.0035459517691838593,0.19880288959252898,0.21842356646166874,0.019620676869139764,0.019620676869139764
670.0,2026-08-21,0.4520547945205479,put,0.0035459517691838593,0.21910279625077217,0.21842356646166908,-0.0006792297891030918,0.0006792297891030918
675.0,2026-08-21,0.4520547945205479,put,-0.0038890267183342253,0.2155276664296252,0.2155039490259286,-2.371740369661035e-05,2.371740369661035e-05
665.0,2026-08-21,0.4520547945205479,put,0.011036623498341353,0.22284332065007958,0.2213203776215039,-0.0015229430285756962,0.0015229430285756962
680.0,2026-08-21,0.4520547945205479,put,-0.011269134015956778,0.21200757526728375,0.21255840425345043,0.0005508289861666793,0.0005508289861666793
700.0,2026-08-21,0.4520547945205479,call,-0.0402566708892091,0.17522928831132603,0.20051616322827473,0.0252868749169487,0.0252868749169487
620.0,2026-08-21,0.4520547945205479,put,0.08110418611505839,0.25834230805526526,0.24652825064154338,-0.011814057413721879,0.011814057413721879
575.0,2026-08-21,0.4520547945205479,put,0.15645362335684515,0.2940312802094393,0.27057285856311974,-0.02345842164631956,0.02345842164631956
675.0,2026-08-31,0.4794520547945205,put,-0.0038890267183342253,0.21525750804228777,0.2152559596479605,-1.5483943272831535e-06,1.5483943272831535e-06
665.0,2026-08-31,0.4794520547945205,put,0.011036623498341353,0.22229855518623565,0.2208673460575247,-0.0014312091287109474,0.0014312091287109474
693.0,2026-08-31,0.4794520547945205,call,-0.030206335035707632,0.18088100151944936,0.2049425179150428,0.024061516395593452,0.024061516395593452
700.0,2026-08-31,0.4794520547945205,call,-0.0402566708892091,0.1753762734015001,0.20085050717099212,0.02547423376949201,0.02547423376949201
701.0,2026-08-31,0.4794520547945205,call,-0.04168422288039453,0.1746244746562161,0.20026181828737277,0.02563734363115666,0.02563734363115666
715.0,2026-08-31,0.4794520547945205,call,-0.061458878539812085,0.16398496459603565,0.19190077071767925,0.0279158061216436,0.0279158061216436
